Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.384872436523438, 8.252106666564941, 4.5267157554626465, 4.072751522064209, 2.867478370666504, 2.6217355728149414, 2.4146902561187744, 2.605647563934326, 2.5656192302703857, 2.5385396480560303, 2.32411527633667, 2.5077333450317383, 2.3286540508270264, 2.293062210083008, 2.215846538543701, 2.191000461578369, 2.141486883163452, 2.1571640968322754, 2.1284682750701904, 2.0777876377105713, 2.1114723682403564];[1.399965524673462, 1.3947296142578125, 0.9826155304908752, 0.8657628893852234, 0.4566255509853363, 0.35754406452178955, 0.2671089172363281, 0.3660426735877991, 0.3505435585975647, 0.34400010108947754, 0.24834075570106506, 0.33525359630584717, 0.25275084376335144, 0.2422827184200287, 0.20981673896312714, 0.1960083246231079, 0.17855209112167358, 0.18796908855438232, 0.1765597015619278, 0.14823667705059052, 0.16902026534080505];[-71.69013977050781, -18.856061935424805, -5.8580403327941895, -5.356831073760986, -2.993319511413574, -2.647660255432129, -2.378690719604492, -2.7338976860046387, -2.6785364151000977, -2.658780574798584, -2.3287575244903564, -2.6134297847747803, -2.36082124710083, -2.3248841762542725, -2.231835126876831, -2.1997573375701904, -2.128084897994995, -2.1542859077453613, -2.1169846057891846, -2.04844331741333, -2.099703550338745]
600;[16.371875762939453, 11.506134986877441, 11.55078125, 11.547321319580078, 11.49677848815918, 11.462665557861328, 4.946134567260742, 4.93447732925415, 4.642338752746582, 4.4432878494262695, 3.974255323410034, 3.78080677986145, 4.1469550132751465, 4.222731113433838, 3.8961379528045654, 4.161524772644043, 3.9398891925811768, 3.7581136226654053, 3.731123685836792, 3.5720431804656982, 3.4310431480407715];[1.3977935314178467, 1.3249294757843018, 1.3247358798980713, 1.4296460151672363, 1.434973120689392, 1.5566132068634033, 1.1395283937454224, 1.1443012952804565, 1.0873953104019165, 1.0458893775939941, 0.9128652811050415, 0.8570165038108826, 0.9668120741844177, 0.9975836277008057, 0.9002623558044434, 0.9819959402084351, 0.9124417304992676, 0.8536412119865417, 0.836499810218811, 0.7944122552871704, 0.7362686395645142];[-72.76250457763672, -49.031620025634766, -52.787254333496094, -50.92543411254883, -51.086326599121094, -48.039405822753906, -8.104517936706543, -8.151289939880371, -7.322649955749512, -6.8024702072143555, -5.572551727294922, -5.164313793182373, -6.022634983062744, -6.354822158813477, -5.5130767822265625, -6.183375358581543, -5.649196147918701, -5.285212993621826, -5.224102973937988, -4.833267688751221, -4.518411159515381]
650;[16.365907669067383, 11.491698265075684, 4.54738712310791, 4.57363748550415, 3.855191707611084, 4.333368301391602, 3.8230466842651367, 3.5208725929260254, 3.3879363536834717, 3.296281337738037, 3.54403018951416, 3.3755109310150146, 3.1423263549804688, 2.957789659500122, 2.9727346897125244, 2.771507501602173, 2.702524423599243, 2.8670830726623535, 3.1598901748657227, 3.096569299697876, 2.936187744140625];[1.3927809000015259, 1.3361155986785889, 0.9747620224952698, 1.0063611268997192, 0.829653263092041, 0.9781164526939392, 0.8396352529525757, 0.737093985080719, 0.6888368129730225, 0.6467227935791016, 0.7561433911323547, 0.686889111995697, 0.6068522930145264, 0.5343124270439148, 0.5451710224151611, 0.4606422185897827, 0.42746055126190186, 0.5021947622299194, 0.6314338445663452, 0.6037184000015259, 0.5373417139053345];[-71.73751831054688, -47.73359680175781, -6.026523590087891, -6.442590236663818, -4.845139980316162, -6.2523393630981445, -5.03478479385376, -4.5125813484191895, -4.260739803314209, -4.098361968994141, -4.6393513679504395, -4.316337585449219, -3.81986665725708, -3.4544973373413086, -3.4874484539031982, -3.094705581665039, -2.9780635833740234, -3.3045148849487305, -3.882906198501587, -3.7609338760375977, -3.4680182933807373]
700;[16.352001190185547, 8.089138984680176, 4.036112308502197, 3.316605806350708, 2.7689321041107178, 3.32438588142395, 3.0436294078826904, 2.8651065826416016, 3.1915929317474365, 2.901448965072632, 2.734184503555298, 2.714299201965332, 2.786327600479126, 2.7576653957366943, 2.587087631225586, 2.425196886062622, 2.368800163269043, 2.3862099647521973, 2.4726200103759766, 2.4048984050750732, 2.3303589820861816];[1.3948147296905518, 1.281517505645752, 0.8345742225646973, 0.6082737445831299, 0.41159117221832275, 0.6437922120094299, 0.5371723175048828, 0.46711787581443787, 0.5968706011772156, 0.49797481298446655, 0.42307794094085693, 0.4262334406375885, 0.4594518542289734, 0.44698792695999146, 0.375418484210968, 0.3063039183616638, 0.2766357958316803, 0.2867073714733124, 0.3320695757865906, 0.3017996549606323, 0.26598498225212097];[-70.16020202636719, -20.009140014648438, -4.64500093460083, -3.716789484024048, -2.828378915786743, -3.81949520111084, -3.4780280590057373, -3.1539576053619385, -3.8947513103485107, -3.343386650085449, -2.9979567527770996, -3.0140304565429688, -3.133218288421631, -3.096463918685913, -2.8208463191986084, -2.5781917572021484, -2.4766149520874023, -2.4979031085968018, -2.696230888366699, -2.5639808177948, -2.4484899044036865]
750;[16.363067626953125, 8.281705856323242, 5.809506416320801, 6.2270588874816895, 4.379040718078613, 4.026886463165283, 4.299095630645752, 4.142665386199951, 4.394591808319092, 4.376528263092041, 4.5725908279418945, 4.229622840881348, 4.181158542633057, 4.541810512542725, 4.217123508453369, 4.079442977905273, 3.875302791595459, 3.668405055999756, 4.051000118255615, 4.26077938079834, 4.0825910568237305];[1.3971993923187256, 1.5269519090652466, 1.149592399597168, 1.2919315099716187, 0.9888012409210205, 0.8891312479972839, 0.983726441860199, 0.9415485858917236, 1.027948260307312, 1.0254021883010864, 1.0844025611877441, 0.9952231645584106, 0.9835344552993774, 1.0856798887252808, 0.9989627003669739, 0.9596089124679565, 0.8950694799423218, 0.8240059018135071, 0.9492761492729187, 1.0123140811920166, 0.965343177318573];[-67.83625793457031, -15.970732688903809, -10.270634651184082, -11.767475128173828, -5.968307971954346, -5.373281955718994, -6.096923351287842, -5.873859405517578, -6.536428928375244, -6.523021697998047, -7.153392791748047, -6.292844295501709, -6.160851001739502, -7.21943473815918, -6.341156482696533, -5.951376914978027, -5.538736343383789, -5.007583141326904, -5.9580230712890625, -6.5244879722595215, -6.100189208984375]
800;[16.35968780517578, 11.514052391052246, 11.440196990966797, 7.328843593597412, 7.234817981719971, 7.168047904968262, 7.158156871795654, 7.187161445617676, 7.106650352478027, 7.156219005584717, 7.123585224151611, 4.647817611694336, 4.521535873413086, 4.201889514923096, 4.333408355712891, 3.779618263244629, 3.800618886947632, 3.7246575355529785, 3.920098304748535, 3.9893126487731934, 3.427441120147705];[1.3976714611053467, 1.3735909461975098, 1.3696306943893433, 1.2691564559936523, 1.2717434167861938, 1.251962423324585, 1.2597403526306152, 1.2623939514160156, 1.242080807685852, 1.2566680908203125, 1.2512221336364746, 0.9555919170379639, 0.9175025820732117, 0.860331118106842, 0.911185622215271, 0.7910903692245483, 0.7940335273742676, 0.7666348814964294, 0.8406075835227966, 0.8774500489234924, 0.7158358097076416];[-71.7194595336914, -47.348331451416016, -49.08409118652344, -18.66602897644043, -18.85279083251953, -19.594619750976562, -19.78113555908203, -19.94131851196289, -20.11467933654785, -20.507429122924805, -20.475252151489258, -8.485221862792969, -8.166360855102539, -7.191240310668945, -7.43855094909668, -5.6854753494262695, -5.7455830574035645, -5.620790004730225, -6.081040859222412, -6.179528713226318, -4.6121320724487305]
850;[16.377588272094727, 8.261531829833984, 8.105361938476562, 8.104840278625488, 8.077630043029785, 3.4304561614990234, 3.6448285579681396, 2.6745357513427734, 2.5580954551696777, 2.4593987464904785, 2.8054311275482178, 2.6987786293029785, 2.6893129348754883, 2.7614333629608154, 2.6457486152648926, 2.5675084590911865, 2.4707367420196533, 2.498042345046997, 2.6255099773406982, 2.9349634647369385, 2.8375754356384277];[1.3963427543640137, 1.4661872386932373, 1.3566679954528809, 1.3524192571640015, 1.3229469060897827, 0.6654815673828125, 0.7588579058647156, 0.3913922905921936, 0.34655624628067017, 0.30270788073539734, 0.45730268955230713, 0.4183363616466522, 0.4144328236579895, 0.4460485875606537, 0.39372965693473816, 0.36219266057014465, 0.32089856266975403, 0.3356229364871979, 0.39863914251327515, 0.5272085666656494, 0.48829078674316406];[-70.67257690429688, -17.818321228027344, -21.502748489379883, -22.875743865966797, -24.550153732299805, -4.24274206161499, -4.633162975311279, -2.7949140071868896, -2.64616060256958, -2.5222530364990234, -3.172400712966919, -3.012925386428833, -3.0426697731018066, -3.1884407997131348, -2.9876370429992676, -2.8159570693969727, -2.6635427474975586, -2.727449655532837, -2.912459135055542, -3.516143560409546, -3.3254668712615967]
900;[16.363178253173828, 8.73553466796875, 8.362166404724121, 8.378657341003418, 8.39867115020752, 8.214959144592285, 8.191108703613281, 8.175003051757812, 3.52915096282959, 4.695252895355225, 4.2117919921875, 3.8937788009643555, 3.657498359680176, 3.5068161487579346, 3.299337148666382, 3.1275012493133545, 2.927025079727173, 2.874485492706299, 2.7902262210845947, 2.678642988204956, 2.6077070236206055];[1.3949940204620361, 1.5193673372268677, 1.5648940801620483, 1.584250807762146, 1.6007227897644043, 1.572678565979004, 1.5607811212539673, 1.5390945672988892, 0.7131248712539673, 1.1133261919021606, 0.9756228923797607, 0.8724002838134766, 0.7782711982727051, 0.7206776142120361, 0.6576704978942871, 0.600007176399231, 0.526202380657196, 0.4999679625034332, 0.4661225974559784, 0.42415541410446167, 0.39289137721061707];[-71.18006134033203, -19.752389907836914, -19.10272979736328, -19.970914840698242, -20.841064453125, -21.23675537109375, -21.879945755004883, -22.037372589111328, -4.611888408660889, -7.380336761474609, -6.181026458740234, -5.514153480529785, -5.051212787628174, -4.7694172859191895, -4.287079334259033, -3.883552312850952, -3.474074125289917, -3.3986456394195557, -3.2355871200561523, -3.0114049911499023, -2.8791840076446533]
950;[16.34657859802246, 8.190694808959961, 8.306509017944336, 4.988969802856445, 4.361779689788818, 3.7610790729522705, 3.415964365005493, 3.226055383682251, 3.2483632564544678, 3.1272945404052734, 3.049265146255493, 2.8792030811309814, 2.9476611614227295, 3.0009777545928955, 2.8964807987213135, 2.8685965538024902, 3.405759811401367, 3.293912410736084, 3.181978225708008, 2.936830759048462, 2.8110666275024414];[1.3949438333511353, 1.4285197257995605, 1.565325140953064, 1.0004286766052246, 0.9167336821556091, 0.7830790877342224, 0.6837055087089539, 0.6271076202392578, 0.6383932828903198, 0.5992570519447327, 0.5701014995574951, 0.5018530488014221, 0.5279461741447449, 0.5574741959571838, 0.5114190578460693, 0.5039787292480469, 0.72242271900177, 0.68889981508255, 0.639962375164032, 0.538433849811554, 0.48578906059265137];[-69.52418518066406, -18.244539260864258, -18.268482208251953, -8.210186004638672, -6.468903064727783, -4.923766136169434, -4.15683650970459, -3.781212091445923, -3.858834743499756, -3.69490385055542, -3.5513439178466797, -3.2710752487182617, -3.4050345420837402, -3.5204970836639404, -3.334000825881958, -3.3092989921569824, -4.352318286895752, -4.151040554046631, -3.9309418201446533, -3.4524543285369873, -3.222055435180664]
1000;[16.38182258605957, 11.702383041381836, 11.516951560974121, 7.446845531463623, 5.632650852203369, 4.7354841232299805, 4.010564804077148, 3.488867998123169, 3.3000078201293945, 3.1878609657287598, 3.3026795387268066, 3.760906457901001, 4.043819427490234, 4.004367351531982, 3.785405158996582, 3.8172781467437744, 4.310581207275391, 4.171830177307129, 4.062402725219727, 3.8700804710388184, 3.948080539703369];[1.3992834091186523, 1.6814780235290527, 1.6255508661270142, 1.5005115270614624, 1.2660458087921143, 1.0976135730743408, 0.8897444009780884, 0.728881299495697, 0.6604359149932861, 0.6205583810806274, 0.6687675714492798, 0.837949812412262, 0.922563910484314, 0.9148156642913818, 0.8522366881370544, 0.8666234612464905, 1.0271726846694946, 0.9838913679122925, 0.9517562985420227, 0.893523633480072, 0.9226744174957275];[-71.03240966796875, -37.1202507019043, -41.98280334472656, -16.16814422607422, -9.406523704528809, -7.085429668426514, -5.3695807456970215, -4.307863712310791, -3.9703030586242676, -3.779106378555298, -4.039163589477539, -5.149499893188477, -5.939781665802002, -5.838592529296875, -5.285784721374512, -5.372786045074463, -6.634652614593506, -6.257913589477539, -5.989523887634277, -5.525180816650391, -5.747745513916016]
