Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.384872436523438, 11.939894676208496, 11.320747375488281, 11.355011940002441, 7.74167013168335, 6.040139198303223, 5.233877658843994, 4.793121814727783, 3.282320499420166, 2.202092170715332, 1.9867522716522217, 1.89812433719635, 1.928154468536377, 1.8832577466964722, 1.8019696474075317, 1.8157943487167358, 1.7921836376190186, 1.751579761505127, 1.759498119354248, 1.7572540044784546, 1.7547481060028076];[1.399965524673462, 1.2920132875442505, 1.3925939798355103, 1.4192994832992554, 1.31215238571167, 1.1426926851272583, 1.0380803346633911, 0.9703570008277893, 0.6171615719795227, 0.19729244709014893, 0.10546949505805969, 0.07058892399072647, 0.08702367544174194, 0.06513312458992004, 0.03187476471066475, 0.036045707762241364, 0.02811266854405403, 0.014840483665466309, 0.014720611274242401, 0.01727825403213501, 0.015463743358850479];[-71.69013977050781, -47.887481689453125, -49.82328796386719, -50.898868560791016, -22.036344528198242, -13.863773345947266, -10.336739540100098, -9.049123764038086, -4.269838333129883, -2.1721715927124023, -1.902693271636963, -1.7935490608215332, -1.8431130647659302, -1.7899746894836426, -1.6919152736663818, -1.712497353553772, -1.6822189092636108, -1.6426136493682861, -1.64261794090271, -1.649857521057129, -1.6417896747589111]
600;[16.371875762939453, 11.871609687805176, 11.437496185302734, 11.360965728759766, 11.355525016784668, 11.371967315673828, 8.044766426086426, 4.864797115325928, 3.3006134033203125, 2.2737348079681396, 1.8840423822402954, 1.7981709241867065, 1.7644180059432983, 1.7737083435058594, 1.7757525444030762, 1.7780309915542603, 1.7724398374557495, 1.7606005668640137, 1.7691705226898193, 1.7631257772445679, 1.7436634302139282];[1.3977935314178467, 1.2916980981826782, 1.374800443649292, 1.392256736755371, 1.3880351781845093, 1.3907687664031982, 1.283421516418457, 0.9655011892318726, 0.6214145421981812, 0.2349863052368164, 0.06042637303471565, 0.025959767401218414, 0.012915747240185738, 0.02051013708114624, 0.022077489644289017, 0.022744018584489822, 0.020299844443798065, 0.017733417451381683, 0.021460285410284996, 0.01820063777267933, 0.011661367490887642];[-72.76250457763672, -48.240787506103516, -50.061439514160156, -51.31218338012695, -52.81098175048828, -54.053707122802734, -26.55724334716797, -9.365991592407227, -4.403270721435547, -2.3223373889923096, -1.7723509073257446, -1.6713181734085083, -1.6395928859710693, -1.6599540710449219, -1.6587176322937012, -1.6647000312805176, -1.6579179763793945, -1.6558692455291748, -1.6617214679718018, -1.6506729125976562, -1.635630488395691]
650;[16.365907669067383, 11.869492530822754, 11.34515380859375, 7.6618876457214355, 4.393395900726318, 2.919069766998291, 2.595940351486206, 2.4103293418884277, 2.2863869667053223, 2.296074867248535, 2.213369369506836, 2.1662633419036865, 2.147927761077881, 2.147608995437622, 2.1610071659088135, 2.126769781112671, 2.0174384117126465, 1.938860297203064, 1.9138031005859375, 1.8988772630691528, 1.8739889860153198];[1.3927809000015259, 1.2931097745895386, 1.3765842914581299, 1.2710267305374146, 0.8997539281845093, 0.4790381193161011, 0.3636188507080078, 0.28477591276168823, 0.23530882596969604, 0.24093376100063324, 0.20518580079078674, 0.18937623500823975, 0.1807989627122879, 0.184275820851326, 0.18892982602119446, 0.17693817615509033, 0.12496504932641983, 0.09049210697412491, 0.08176818490028381, 0.07823757827281952, 0.06484496593475342];[-71.73751831054688, -47.68559646606445, -50.093536376953125, -20.806123733520508, -6.538469314575195, -3.2395448684692383, -2.7610979080200195, -2.471947431564331, -2.3164749145507812, -2.331507682800293, -2.2220373153686523, -2.170701265335083, -2.1486141681671143, -2.155064344406128, -2.1723861694335938, -2.133431911468506, -1.9658111333847046, -1.866726040840149, -1.8430255651474, -1.8262501955032349, -1.7895116806030273]
700;[16.352001190185547, 9.517437934875488, 7.027546405792236, 5.160356521606445, 4.456111907958984, 4.050779819488525, 3.1339337825775146, 2.566047430038452, 2.452359914779663, 2.307615041732788, 2.3111298084259033, 2.2626311779022217, 2.159905195236206, 2.1140432357788086, 2.112154245376587, 2.0650620460510254, 2.0647010803222656, 2.078627347946167, 2.0440025329589844, 2.0394670963287354, 2.0141420364379883];[1.3948147296905518, 1.2422024011611938, 1.3271355628967285, 1.0675091743469238, 0.9431679248809814, 0.8443544507026672, 0.5742287635803223, 0.3479243516921997, 0.3069508671760559, 0.24793118238449097, 0.24774843454360962, 0.2296777218580246, 0.18817336857318878, 0.16598983108997345, 0.16907228529453278, 0.14731425046920776, 0.1448063850402832, 0.15160401165485382, 0.1440945416688919, 0.13418276607990265, 0.12999331951141357];[-70.16020202636719, -19.55418586730957, -13.527326583862305, -8.612329483032227, -6.849075794219971, -5.941650390625, -3.7414209842681885, -2.6913604736328125, -2.537689447402954, -2.335901975631714, -2.3439629077911377, -2.2992382049560547, -2.1459858417510986, -2.084965229034424, -2.1009039878845215, -2.030949831008911, -2.0326590538024902, -2.0445199012756348, -2.0258970260620117, -1.997018575668335, -1.9885621070861816]
750;[16.363067626953125, 11.760563850402832, 8.058680534362793, 6.022131443023682, 3.8788909912109375, 3.068000078201294, 2.9603350162506104, 2.8639886379241943, 2.458599805831909, 2.486506700515747, 2.1586267948150635, 2.0815393924713135, 2.030714988708496, 2.0217368602752686, 1.927526831626892, 1.883616328239441, 1.8739478588104248, 1.8359915018081665, 1.791597604751587, 1.8368933200836182, 1.821663498878479];[1.3971993923187256, 1.2987663745880127, 1.3224701881408691, 1.1673206090927124, 0.8040469288825989, 0.5483270287513733, 0.5125554800033569, 0.4782048165798187, 0.30902814865112305, 0.32293209433555603, 0.17835766077041626, 0.14995121955871582, 0.12736211717128754, 0.12851016223430634, 0.08618804812431335, 0.0674767717719078, 0.06570036709308624, 0.047315891832113266, 0.028228463605046272, 0.04552929848432541, 0.043401919305324554];[-67.83625793457031, -47.039710998535156, -20.628252029418945, -12.168417930603027, -5.11809778213501, -3.5304508209228516, -3.390028715133667, -3.2747881412506104, -2.561946392059326, -2.605311632156372, -2.121302843093872, -2.043139934539795, -1.9671833515167236, -1.9747511148452759, -1.8463943004608154, -1.7916152477264404, -1.7914810180664062, -1.7334939241409302, -1.6812841892242432, -1.7351690530776978, -1.7244796752929688]
800;[16.35968780517578, 11.76403522491455, 8.1102933883667, 5.8825883865356445, 4.956528186798096, 4.397924900054932, 2.983760118484497, 2.2678229808807373, 2.0722036361694336, 2.0272786617279053, 1.9011523723602295, 1.9494802951812744, 1.885029911994934, 1.844079852104187, 1.8230611085891724, 1.8034868240356445, 1.8189034461975098, 1.8177790641784668, 1.8108023405075073, 1.78829026222229, 1.776885986328125];[1.3976714611053467, 1.2983959913253784, 1.3471428155899048, 1.135515570640564, 1.0331079959869385, 0.9181831479072571, 0.5194841027259827, 0.2209848016500473, 0.13808800280094147, 0.12295842170715332, 0.07101962715387344, 0.09028676897287369, 0.06187143921852112, 0.04988260194659233, 0.0422573983669281, 0.03673829510807991, 0.04261091351509094, 0.04235703870654106, 0.04043082147836685, 0.028656866401433945, 0.025432419031858444];[-71.7194595336914, -46.471160888671875, -19.38995933532715, -11.398736953735352, -8.502264976501465, -7.0895466804504395, -3.400463819503784, -2.242107629776001, -1.987884521484375, -1.945766806602478, -1.79530668258667, -1.8553266525268555, -1.7755123376846313, -1.7418386936187744, -1.7191663980484009, -1.695590853691101, -1.7192869186401367, -1.7197251319885254, -1.7100235223770142, -1.6802350282669067, -1.6705856323242188]
850;[16.377588272094727, 9.519394874572754, 8.322604179382324, 8.05479621887207, 4.786783218383789, 3.583470106124878, 3.4950673580169678, 3.359067916870117, 2.6588268280029297, 2.416701555252075, 2.3996195793151855, 2.3069896697998047, 2.057330369949341, 1.9488106966018677, 1.91713547706604, 1.9315605163574219, 1.8838286399841309, 1.8376811742782593, 1.7995051145553589, 1.7935867309570312, 1.8055423498153687];[1.3963427543640137, 1.255135178565979, 1.4675331115722656, 1.3315163850784302, 1.0060529708862305, 0.7130927443504333, 0.7063778638839722, 0.6614591479301453, 0.39426806569099426, 0.2965441346168518, 0.2944520115852356, 0.25537216663360596, 0.1361658126115799, 0.09793058037757874, 0.07984510064125061, 0.08775253593921661, 0.06452508270740509, 0.044901296496391296, 0.032803282141685486, 0.03045247122645378, 0.035850390791893005];[-70.67257690429688, -20.883222579956055, -16.086227416992188, -23.01007080078125, -7.911106109619141, -4.7977213859558105, -4.521646499633789, -4.304876804351807, -2.8897597789764404, -2.5156409740448, -2.488257646560669, -2.372415542602539, -2.0017967224121094, -1.8682783842086792, -1.8315746784210205, -1.8507400751113892, -1.7853933572769165, -1.734015703201294, -1.69465970993042, -1.6840989589691162, -1.706678867340088]
900;[16.363178253173828, 11.736372947692871, 8.005561828613281, 4.678468704223633, 3.1322131156921387, 2.8546767234802246, 2.4990830421447754, 2.298426628112793, 2.466825008392334, 2.2628772258758545, 2.0891311168670654, 2.179854393005371, 2.1105005741119385, 2.050313949584961, 1.9983091354370117, 1.9617010354995728, 1.9694969654083252, 1.9947079420089722, 1.949388861656189, 1.97794771194458, 1.8969509601593018];[1.3949940204620361, 1.2985399961471558, 1.300370693206787, 1.000401496887207, 0.5646215677261353, 0.4586099684238434, 0.32104918360710144, 0.23841866850852966, 0.3121582865715027, 0.22964251041412354, 0.1506602168083191, 0.1895224004983902, 0.16391849517822266, 0.1357744038105011, 0.1145578920841217, 0.10298702865839005, 0.10518040508031845, 0.11548683047294617, 0.09603073447942734, 0.11004676669836044, 0.08026115596294403];[-71.18006134033203, -45.93535614013672, -20.446613311767578, -6.597492694854736, -3.472738265991211, -3.2258107662200928, -2.6403021812438965, -2.3161096572875977, -2.589115619659424, -2.289240837097168, -2.033345937728882, -2.173191547393799, -2.071655511856079, -2.0001556873321533, -1.9294253587722778, -1.8986173868179321, -1.894992709159851, -1.9335882663726807, -1.8806664943695068, -1.9183659553527832, -1.8288153409957886]
950;[16.34657859802246, 11.767126083374023, 11.350324630737305, 7.707452297210693, 5.764564037322998, 5.095536231994629, 3.6293838024139404, 2.7911574840545654, 2.712759494781494, 2.414841413497925, 2.2850263118743896, 2.234495162963867, 2.3453369140625, 2.332857608795166, 2.450852632522583, 2.3689985275268555, 2.2691681385040283, 2.2073378562927246, 2.1254851818084717, 2.090364694595337, 2.0361111164093018];[1.3949438333511353, 1.2991505861282349, 1.4306144714355469, 1.357927680015564, 1.1190303564071655, 1.0380953550338745, 0.73334801197052, 0.44443950057029724, 0.41905346512794495, 0.29360470175743103, 0.23739247024059296, 0.2133415788412094, 0.2688119411468506, 0.26794981956481934, 0.3220241963863373, 0.28475677967071533, 0.23660218715667725, 0.21336312592029572, 0.17561142146587372, 0.15672317147254944, 0.13806812465190887];[-69.52418518066406, -46.87812423706055, -47.310333251953125, -20.200410842895508, -11.957917213439941, -9.627409934997559, -4.960890293121338, -3.079129219055176, -2.986856698989868, -2.4971976280212402, -2.302386999130249, -2.2228164672851562, -2.420391798019409, -2.398881196975708, -2.5828135013580322, -2.462704658508301, -2.3084511756896973, -2.2318315505981445, -2.1163361072540283, -2.061383008956909, -2.0089755058288574]
1000;[16.38182258605957, 11.900551795959473, 7.974689960479736, 5.994318962097168, 5.083927154541016, 4.579659461975098, 3.1456222534179688, 2.6715612411499023, 2.1552348136901855, 1.993253469467163, 1.9155429601669312, 1.870752215385437, 1.8698405027389526, 1.8941617012023926, 1.8653674125671387, 1.8650949001312256, 1.9006074666976929, 1.9073622226715088, 1.8324202299118042, 1.8608593940734863, 1.8165948390960693];[1.3992834091186523, 1.2913950681686401, 1.2403316497802734, 1.0841879844665527, 0.9788104891777039, 0.9110429286956787, 0.5605356097221375, 0.39168182015419006, 0.17526775598526, 0.10815995931625366, 0.07786398380994797, 0.05527348071336746, 0.059200506657361984, 0.06801843643188477, 0.05950732156634331, 0.06306657940149307, 0.07347007095813751, 0.07958240807056427, 0.0462011843919754, 0.06237763538956642, 0.041878968477249146];[-71.03240966796875, -48.74862289428711, -21.809263229370117, -12.902949333190918, -9.304588317871094, -7.997978687286377, -3.886478900909424, -2.9933223724365234, -2.121980667114258, -1.913025975227356, -1.8165240287780762, -1.7595536708831787, -1.7694973945617676, -1.8013806343078613, -1.7688366174697876, -1.7768919467926025, -1.8096469640731812, -1.8262041807174683, -1.734907627105713, -1.7806243896484375, -1.720130205154419]
