Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.384872436523438, 11.884504318237305, 11.355342864990234, 11.360429763793945, 11.391619682312012, 11.369542121887207, 8.032001495361328, 6.697318077087402, 5.985905647277832, 4.0081353187561035, 2.564171075820923, 2.4848525524139404, 2.234988212585449, 2.1403770446777344, 2.0312273502349854, 1.9869900941848755, 1.9629005193710327, 1.9665447473526, 1.9341164827346802, 1.8779284954071045, 1.895275592803955];[1.399965524673462, 1.2975051403045654, 1.370249629020691, 1.4037659168243408, 1.3769859075546265, 1.381283164024353, 1.2764207124710083, 1.2202277183532715, 1.1639971733093262, 0.8430485725402832, 0.35920631885528564, 0.32956162095069885, 0.21525201201438904, 0.17762409150600433, 0.13021372258663177, 0.1083497703075409, 0.1028982549905777, 0.10517938435077667, 0.0930694043636322, 0.06349832564592361, 0.07533346116542816];[-71.69013977050781, -47.62913131713867, -51.09033203125, -52.0308837890625, -53.748870849609375, -54.448081970214844, -25.917245864868164, -17.880128860473633, -13.89669418334961, -6.17573356628418, -2.7425780296325684, -2.6324923038482666, -2.2436513900756836, -2.1264569759368896, -1.9818812608718872, -1.924095869064331, -1.8960702419281006, -1.9004275798797607, -1.8631908893585205, -1.7891329526901245, -1.8150635957717896]
600;[16.371875762939453, 11.833026885986328, 11.510441780090332, 11.530627250671387, 7.926664352416992, 6.667057991027832, 4.642034530639648, 4.06065559387207, 4.159569263458252, 4.171422481536865, 3.938455820083618, 3.758024215698242, 4.127641677856445, 4.3167338371276855, 4.007635116577148, 4.200522422790527, 4.133142948150635, 4.062989711761475, 4.036982536315918, 3.8183650970458984, 3.5963122844696045];[1.3977935314178467, 1.2953407764434814, 1.3300977945327759, 1.3999862670898438, 1.3077247142791748, 1.330051064491272, 1.0734341144561768, 0.9322815537452698, 0.9672789573669434, 0.9809650182723999, 0.9060562252998352, 0.8517096042633057, 0.9529023766517639, 1.013658046722412, 0.9335153698921204, 0.9869645833969116, 0.9605934619903564, 0.9349391460418701, 0.9140437245368958, 0.8629606366157532, 0.7817543148994446];[-72.76250457763672, -47.650390625, -53.50599670410156, -52.673213958740234, -22.885482788085938, -14.778958320617676, -7.085885047912598, -5.683401107788086, -6.027733325958252, -6.121264457702637, -5.5449652671813965, -5.172650337219238, -6.084272861480713, -6.747018814086914, -5.843263149261475, -6.374815464019775, -6.251898765563965, -6.1802144050598145, -6.168476581573486, -5.540719509124756, -4.9984636306762695]
650;[16.365907669067383, 11.849392890930176, 11.335415840148926, 11.367545127868652, 7.706801891326904, 5.467833995819092, 4.241396427154541, 3.853823184967041, 3.3157870769500732, 3.156259059906006, 3.3380181789398193, 3.0282607078552246, 2.8000271320343018, 2.6229324340820312, 2.6054134368896484, 2.4603753089904785, 2.408853530883789, 2.5239157676696777, 2.6830289363861084, 2.6869208812713623, 2.5977869033813477];[1.3927809000015259, 1.2944004535675049, 1.3755666017532349, 1.4431118965148926, 1.33347487449646, 1.1256729364395142, 0.9102931022644043, 0.8191700577735901, 0.653889536857605, 0.5918232798576355, 0.6750829219818115, 0.561149001121521, 0.47123610973358154, 0.39543697237968445, 0.3907710909843445, 0.325531542301178, 0.2986627519130707, 0.35250526666641235, 0.42770808935165405, 0.42822661995887756, 0.3902619183063507];[-71.73751831054688, -46.987701416015625, -50.09221649169922, -50.08538055419922, -21.72795867919922, -10.732026100158691, -6.534296989440918, -5.62704610824585, -4.276063442230225, -3.946816921234131, -4.311456680297852, -3.6015970706939697, -3.170715570449829, -2.863511562347412, -2.836296319961548, -2.5884978771209717, -2.511509656906128, -2.723705768585205, -2.999236822128296, -3.0162389278411865, -2.8733608722686768]
700;[16.352001190185547, 9.590530395507812, 7.057009696960449, 5.1989216804504395, 3.2500810623168945, 3.0765624046325684, 2.810427188873291, 2.634181261062622, 2.9255359172821045, 2.7518715858459473, 2.646348237991333, 2.6330254077911377, 2.7038733959198, 2.6946353912353516, 2.6075210571289062, 2.5011720657348633, 2.4691123962402344, 2.4668800830841064, 2.5890936851501465, 2.5297462940216064, 2.3708009719848633];[1.3948147296905518, 1.2284694910049438, 1.2912559509277344, 1.0262631177902222, 0.5951237082481384, 0.5541853308677673, 0.44866275787353516, 0.37655043601989746, 0.49750420451164246, 0.4366713762283325, 0.3874680995941162, 0.3942081034183502, 0.4255174994468689, 0.42159080505371094, 0.38468918204307556, 0.3409704566001892, 0.32274386286735535, 0.3241492807865143, 0.38164740800857544, 0.3569931089878082, 0.28566208481788635];[-70.16020202636719, -20.472932815551758, -14.210284233093262, -9.22107219696045, -3.742886543273926, -3.385526180267334, -3.1082468032836914, -2.8285622596740723, -3.4442138671875, -3.1351850032806396, -2.922088861465454, -2.9320287704467773, -3.0433189868927, -3.0329926013946533, -2.9218862056732178, -2.7675576210021973, -2.6920011043548584, -2.6828534603118896, -2.9706525802612305, -2.8367011547088623, -2.5541181564331055]
750;[16.363067626953125, 11.572105407714844, 11.346219062805176, 11.429059028625488, 7.770246982574463, 5.99481201171875, 5.429871082305908, 4.910381317138672, 4.852025985717773, 4.6152472496032715, 4.72732400894165, 4.6687116622924805, 4.660109043121338, 5.136218070983887, 4.8044352531433105, 4.57704496383667, 4.179755210876465, 3.9070773124694824, 4.115978240966797, 4.369588851928711, 4.2710442543029785];[1.3971993923187256, 1.325587272644043, 1.4661669731140137, 1.5542311668395996, 1.4489631652832031, 1.272251009941101, 1.2264348268508911, 1.131495714187622, 1.1408379077911377, 1.0921440124511719, 1.1266711950302124, 1.1151233911514282, 1.1155961751937866, 1.2116148471832275, 1.1508030891418457, 1.0920825004577637, 0.9929736256599426, 0.9061541557312012, 0.9655832052230835, 1.035831332206726, 1.0179518461227417];[-67.83625793457031, -40.891517639160156, -46.82044982910156, -46.81340789794922, -19.72298240661621, -12.014312744140625, -9.781597137451172, -8.228507041931152, -8.025607109069824, -7.316638946533203, -7.711264133453369, -7.645759105682373, -7.607546329498291, -9.274175643920898, -8.137565612792969, -7.437440395355225, -6.361037731170654, -5.621881484985352, -6.167998790740967, -6.886693954467773, -6.631555557250977]
800;[16.35968780517578, 11.836504936218262, 8.143937110900879, 6.349842071533203, 5.583393096923828, 5.328207969665527, 5.321242809295654, 4.477833271026611, 4.067386150360107, 3.4720652103424072, 2.850010395050049, 2.469949245452881, 2.219179153442383, 2.347513437271118, 2.516345739364624, 2.4485843181610107, 2.4273264408111572, 2.3396854400634766, 2.4032251834869385, 2.4552183151245117, 2.3462631702423096];[1.3976714611053467, 1.3058340549468994, 1.348915457725525, 1.2716952562332153, 1.1576597690582275, 1.0864219665527344, 1.0843863487243652, 0.9359771013259888, 0.8345828056335449, 0.6854835748672485, 0.4758874177932739, 0.3217273950576782, 0.21097582578659058, 0.2712671160697937, 0.3472312092781067, 0.3228633403778076, 0.30983245372772217, 0.2714540958404541, 0.29848870635032654, 0.32522866129875183, 0.27593547105789185];[-71.7194595336914, -46.931068420410156, -19.712268829345703, -12.557598114013672, -10.575270652770996, -10.45893669128418, -10.69616985321045, -7.554271221160889, -6.466424942016602, -4.740508079528809, -3.301560401916504, -2.618288516998291, -2.2329156398773193, -2.466724157333374, -2.716580867767334, -2.6055548191070557, -2.5665805339813232, -2.4525251388549805, -2.5590360164642334, -2.6180646419525146, -2.437101364135742]
850;[16.377588272094727, 9.520216941833496, 8.316488265991211, 8.136358261108398, 8.089391708374023, 4.716328144073486, 3.7304794788360596, 2.5959062576293945, 2.3716750144958496, 2.274618148803711, 2.518536329269409, 2.4083242416381836, 2.3037853240966797, 2.425184488296509, 2.2915539741516113, 2.2562713623046875, 2.196523666381836, 2.191415309906006, 2.2549664974212646, 2.3802080154418945, 2.344564437866211];[1.3963427543640137, 1.2441047430038452, 1.4596294164657593, 1.3535417318344116, 1.3188424110412598, 0.964924156665802, 0.7803748250007629, 0.36323481798171997, 0.27001118659973145, 0.2275213748216629, 0.34083160758018494, 0.29751965403556824, 0.25070860981941223, 0.3092057704925537, 0.24434438347816467, 0.2289775013923645, 0.20113477110862732, 0.2016289085149765, 0.2345130741596222, 0.2911064326763153, 0.27579808235168457];[-70.67257690429688, -20.72860336303711, -16.01823616027832, -23.464466094970703, -25.514389038085938, -8.199020385742188, -5.019073486328125, -2.6999382972717285, -2.399395227432251, -2.2800023555755615, -2.6477272510528564, -2.48652720451355, -2.357140302658081, -2.534020185470581, -2.340177059173584, -2.2790133953094482, -2.2034823894500732, -2.2103240489959717, -2.3010034561157227, -2.4822700023651123, -2.4300436973571777]
900;[16.363178253173828, 11.553982734680176, 9.178685188293457, 8.269786834716797, 8.556377410888672, 8.042888641357422, 6.781656265258789, 6.104841709136963, 5.186355113983154, 5.070106029510498, 4.55192756652832, 4.104444980621338, 3.6620352268218994, 3.3879897594451904, 3.1158266067504883, 2.838381052017212, 2.5282680988311768, 2.3502423763275146, 2.2282943725585938, 2.113910436630249, 2.0257396697998047];[1.3949940204620361, 1.3953933715820312, 1.5961347818374634, 1.5739679336547852, 1.612348198890686, 1.5650362968444824, 1.4584364891052246, 1.3628805875778198, 1.212735652923584, 1.2012007236480713, 1.066942572593689, 0.9460300207138062, 0.7883053421974182, 0.6793114542961121, 0.5873236060142517, 0.48328322172164917, 0.35576122999191284, 0.273598313331604, 0.2194380909204483, 0.1714959740638733, 0.1313280463218689];[-71.18006134033203, -36.79569625854492, -19.88909149169922, -20.032241821289062, -22.353286743164062, -20.626558303833008, -14.687614440917969, -11.932855606079102, -8.779932975769043, -8.502828598022461, -7.131964206695557, -6.009099006652832, -5.011462688446045, -4.501255989074707, -3.907101631164551, -3.313046932220459, -2.740410804748535, -2.4529616832733154, -2.269583225250244, -2.099109649658203, -1.9759306907653809]
950;[16.34657859802246, 11.845556259155273, 8.580940246582031, 6.457554340362549, 5.362473964691162, 4.404124736785889, 3.6649880409240723, 3.2359848022460938, 2.9598548412323, 2.869323492050171, 2.8207149505615234, 2.5714046955108643, 2.64047908782959, 2.760242223739624, 2.696099042892456, 2.635042428970337, 2.76120662689209, 2.7437784671783447, 2.6470749378204346, 2.4700767993927, 2.361342668533325];[1.3949438333511353, 1.2937486171722412, 1.3183941841125488, 1.2142233848571777, 1.1230319738388062, 0.9697811603546143, 0.7821812629699707, 0.6343602538108826, 0.5248165130615234, 0.49304816126823425, 0.4751066565513611, 0.37057700753211975, 0.40026068687438965, 0.45909762382507324, 0.4285265803337097, 0.4049851894378662, 0.45750874280929565, 0.4583743214607239, 0.41135936975479126, 0.33143749833106995, 0.28368115425109863];[-69.52418518066406, -48.3906364440918, -24.497787475585938, -13.728976249694824, -9.575316429138184, -6.494206428527832, -4.627890586853027, -3.832080602645874, -3.358640432357788, -3.2705070972442627, -3.199216604232788, -2.7684900760650635, -2.8685779571533203, -3.0881268978118896, -2.981842279434204, -2.8979506492614746, -3.0885002613067627, -3.0920071601867676, -2.9238879680633545, -2.638392925262451, -2.469846487045288]
1000;[16.38182258605957, 11.588586807250977, 9.094305038452148, 7.566678524017334, 6.802552700042725, 5.461076259613037, 4.4830322265625, 3.6746625900268555, 3.282264471054077, 3.2416536808013916, 3.270998954772949, 3.6389894485473633, 3.9934966564178467, 3.9555187225341797, 3.749173641204834, 3.790400981903076, 4.006803512573242, 4.019062042236328, 3.990833044052124, 3.7651333808898926, 3.708230972290039];[1.3992834091186523, 1.388844609260559, 1.5986403226852417, 1.513590693473816, 1.3962371349334717, 1.2312878370285034, 1.0376369953155518, 0.7937597036361694, 0.6388446688652039, 0.6258860230445862, 0.6360604763031006, 0.7557546496391296, 0.8509325981140137, 0.8429853320121765, 0.7887033224105835, 0.8143733739852905, 0.894634485244751, 0.8995263576507568, 0.8855116367340088, 0.8194917440414429, 0.807655930519104];[-71.03240966796875, -37.55094909667969, -20.068395614624023, -16.9969539642334, -14.672565460205078, -9.681868553161621, -6.546186923980713, -4.765389442443848, -4.102056503295898, -4.08071231842041, -4.191274642944336, -5.1891021728515625, -6.251137733459473, -6.15287971496582, -5.556581974029541, -5.624296188354492, -6.080605506896973, -6.11154317855835, -6.093481540679932, -5.513859272003174, -5.369785785675049]
