Seed;RMSE History;MMD History;Log-Likelihood History
550;[16.461767196655273, 11.898835182189941, 11.487059593200684, 7.8252644538879395, 6.127459526062012, 3.8589019775390625, 2.799826145172119, 2.629642963409424, 2.6445531845092773, 2.553123712539673, 2.529165744781494, 2.5087697505950928, 2.5098483562469482, 2.479470729827881, 2.2849252223968506, 2.243644952774048, 2.236574411392212, 2.2347257137298584, 2.2132134437561035, 2.1887216567993164, 2.176802635192871];[1.370705246925354, 1.2636852264404297, 1.3739160299301147, 1.220094919204712, 1.0659816265106201, 0.6555474996566772, 0.2959105372428894, 0.22906935214996338, 0.2393784373998642, 0.20545870065689087, 0.19660882651805878, 0.1907295286655426, 0.18834973871707916, 0.1748998612165451, 0.0907955914735794, 0.06941663473844528, 0.07139674574136734, 0.07112237066030502, 0.05822338908910751, 0.05041439086198807, 0.04138496518135071];[-72.1158676147461, -45.440895080566406, -50.147987365722656, -21.842113494873047, -13.296683311462402, -5.256735324859619, -3.0321462154388428, -2.778477430343628, -2.8542280197143555, -2.7114169597625732, -2.6932930946350098, -2.6746110916137695, -2.674163818359375, -2.6494688987731934, -2.350365161895752, -2.277165412902832, -2.2772789001464844, -2.2590301036834717, -2.240633726119995, -2.208148956298828, -2.1889517307281494]
600;[16.445796966552734, 11.810606956481934, 8.282332420349121, 6.001159191131592, 3.9119129180908203, 2.7875943183898926, 2.418712615966797, 2.3606560230255127, 2.3246257305145264, 2.115779161453247, 2.133572816848755, 2.1072025299072266, 2.1264255046844482, 2.128248453140259, 2.1145241260528564, 2.1344776153564453, 2.129458427429199, 2.117147445678711, 2.1057217121124268, 2.098964214324951, 2.1031980514526367];[1.366222858428955, 1.2685760259628296, 1.2754607200622559, 1.0288320779800415, 0.6523303389549255, 0.2799806594848633, 0.13154682517051697, 0.11177390068769455, 0.097580187022686, 0.00760235358029604, 0.013171527534723282, 0.006104814819991589, 0.013564429245889187, 0.02390105649828911, 0.016996964812278748, 0.01882130838930607, 0.016423627734184265, 0.010072281584143639, 0.007222747430205345, 0.0064155347645282745, 0.01039973832666874];[-73.1614761352539, -45.16978073120117, -20.534643173217773, -12.248828887939453, -5.186032772064209, -2.9358158111572266, -2.4317362308502197, -2.371088743209839, -2.348215103149414, -2.069257974624634, -2.0888354778289795, -2.0566353797912598, -2.0907022953033447, -2.1059389114379883, -2.0979666709899902, -2.1136226654052734, -2.110349416732788, -2.1006836891174316, -2.0858261585235596, -2.0759191513061523, -2.0955824851989746]
650;[16.45193099975586, 11.963374137878418, 8.184908866882324, 6.302654266357422, 3.8962018489837646, 3.295635938644409, 3.017657518386841, 2.802936315536499, 2.5794589519500732, 2.498715877532959, 2.4944212436676025, 2.3968610763549805, 2.3435168266296387, 2.2966811656951904, 2.218144416809082, 2.201613664627075, 2.2071964740753174, 2.195075035095215, 2.1575357913970947, 2.197877883911133, 2.2008674144744873];[1.3663195371627808, 1.2720602750778198, 1.188306212425232, 1.058181881904602, 0.6423634886741638, 0.4807538688182831, 0.3894084692001343, 0.3092985153198242, 0.21211236715316772, 0.17675133049488068, 0.1789996176958084, 0.14122962951660156, 0.11272376775741577, 0.09565860778093338, 0.0656300038099289, 0.05022411048412323, 0.050647955387830734, 0.05212666094303131, 0.03620520606637001, 0.04942924529314041, 0.05344250798225403];[-72.22311401367188, -49.3791389465332, -22.025917053222656, -13.934444427490234, -5.2118706703186035, -4.003452777862549, -3.4954898357391357, -3.141136407852173, -2.748486042022705, -2.6381378173828125, -2.6360111236572266, -2.501278877258301, -2.41178560256958, -2.352142095565796, -2.2452094554901123, -2.2030837535858154, -2.2186784744262695, -2.2150473594665527, -2.157252550125122, -2.224349021911621, -2.230056047439575]
700;[16.44110870361328, 9.690713882446289, 8.349503517150879, 4.490660190582275, 3.934281349182129, 3.5326015949249268, 3.126917839050293, 2.921736478805542, 2.7992899417877197, 2.7069787979125977, 2.6207714080810547, 2.484070062637329, 2.4532549381256104, 2.4897100925445557, 2.5016558170318604, 2.393707752227783, 2.386812210083008, 2.3790674209594727, 2.3416712284088135, 2.3146915435791016, 2.2975335121154785];[1.368178367614746, 1.1815861463546753, 1.362245798110962, 0.8424273729324341, 0.7056947350502014, 0.5810518860816956, 0.43581730127334595, 0.35657620429992676, 0.3067481517791748, 0.27617016434669495, 0.23693756759166718, 0.17851589620113373, 0.163610577583313, 0.18592523038387299, 0.19102320075035095, 0.14109309017658234, 0.13621017336845398, 0.13388995826244354, 0.12185628712177277, 0.11020712554454803, 0.10070838034152985];[-70.58049774169922, -21.986217498779297, -16.093278884887695, -6.1301727294921875, -5.116951942443848, -4.464054107666016, -3.640228271484375, -3.3290157318115234, -3.089715003967285, -2.9693846702575684, -2.8223018646240234, -2.611515760421753, -2.576748847961426, -2.6416962146759033, -2.671431541442871, -2.512101411819458, -2.5060644149780273, -2.496950149536133, -2.439027786254883, -2.4075767993927, -2.3795769214630127]
750;[16.441638946533203, 11.992408752441406, 11.528081893920898, 7.817975997924805, 6.170717239379883, 3.8603742122650146, 2.918292284011841, 2.630653142929077, 2.4363510608673096, 2.377391815185547, 2.3638694286346436, 2.345095634460449, 2.3469982147216797, 2.375709295272827, 2.3945815563201904, 2.3452250957489014, 2.29732608795166, 2.262004852294922, 2.3332936763763428, 2.255924701690674, 2.2528743743896484];[1.3659892082214355, 1.2679060697555542, 1.3619287014007568, 1.1958125829696655, 1.035328984260559, 0.6429566144943237, 0.3428172171115875, 0.22939296066761017, 0.14522646367549896, 0.12592600286006927, 0.11880361288785934, 0.11147019267082214, 0.12010731548070908, 0.12717068195343018, 0.13969802856445312, 0.11893227696418762, 0.09568092226982117, 0.08746571838855743, 0.11456499993801117, 0.07273255288600922, 0.07562917470932007];[-68.30420684814453, -49.184444427490234, -50.520751953125, -21.928207397460938, -13.841565132141113, -5.334482192993164, -3.27445125579834, -2.8301682472229004, -2.4968132972717285, -2.432323455810547, -2.4142906665802, -2.4004294872283936, -2.425182580947876, -2.4557693004608154, -2.5042624473571777, -2.4272234439849854, -2.3564512729644775, -2.315932512283325, -2.418872594833374, -2.3019819259643555, -2.3095548152923584]
800;[16.437623977661133, 11.86782455444336, 11.434536933898926, 11.508637428283691, 11.506670951843262, 8.053750038146973, 6.418601036071777, 4.241816997528076, 3.4402050971984863, 3.1711020469665527, 3.0348033905029297, 2.5927672386169434, 2.3311891555786133, 2.2952070236206055, 2.2116546630859375, 2.1597487926483154, 2.1724436283111572, 2.186891555786133, 2.204507350921631, 2.181987762451172, 2.1719865798950195];[1.3679994344711304, 1.2672327756881714, 1.4084210395812988, 1.380902886390686, 1.3912136554718018, 1.2368758916854858, 1.0707345008850098, 0.7353120446205139, 0.5438138842582703, 0.45553287863731384, 0.4013369679450989, 0.21925613284111023, 0.10786423832178116, 0.0958838239312172, 0.05842820554971695, 0.03440007567405701, 0.038932573050260544, 0.047261644154787064, 0.05249997600913048, 0.049562763422727585, 0.04187055677175522];[-72.12739562988281, -44.53885269165039, -47.61909103393555, -51.950714111328125, -53.497398376464844, -24.770357131958008, -15.864055633544922, -6.748510360717773, -4.52141809463501, -3.932213068008423, -3.6739542484283447, -2.8125715255737305, -2.3805370330810547, -2.351901054382324, -2.2385971546173096, -2.147223472595215, -2.175001621246338, -2.203704595565796, -2.2238500118255615, -2.195430040359497, -2.1819679737091064]
850;[16.456480026245117, 9.619502067565918, 6.9002203941345215, 4.272313594818115, 3.260514259338379, 3.4272377490997314, 3.274616003036499, 3.063124418258667, 2.803940773010254, 2.7697205543518066, 2.544513463973999, 2.498027801513672, 2.3954131603240967, 2.3156206607818604, 2.270688533782959, 2.315424919128418, 2.218461513519287, 2.178077459335327, 2.181367874145508, 2.1780600547790527, 2.1483070850372314];[1.368493676185608, 1.1750177145004272, 1.1567270755767822, 0.7640531063079834, 0.4684866666793823, 0.549710750579834, 0.4954061508178711, 0.4204494059085846, 0.3145187795162201, 0.29940417408943176, 0.20554643869400024, 0.1804293841123581, 0.13425134122371674, 0.10303405672311783, 0.08153107762336731, 0.09699773043394089, 0.05948686972260475, 0.04257265478372574, 0.04384617507457733, 0.038926538079977036, 0.03075638972222805];[-71.09609985351562, -21.38528823852539, -14.636785507202148, -5.4567413330078125, -3.6936118602752686, -4.151501655578613, -3.884589910507202, -3.5484931468963623, -3.113997220993042, -3.04976749420166, -2.7140979766845703, -2.639139175415039, -2.4786555767059326, -2.361612319946289, -2.3099241256713867, -2.3753788471221924, -2.2412004470825195, -2.191175699234009, -2.1874279975891113, -2.1765236854553223, -2.1524336338043213]
900;[16.432239532470703, 11.821878433227539, 11.483747482299805, 11.48143196105957, 11.443045616149902, 11.473310470581055, 8.169342041015625, 6.799962043762207, 4.374261856079102, 3.0678420066833496, 2.615048885345459, 2.526756525039673, 2.3987889289855957, 2.2956418991088867, 2.326510190963745, 2.3456807136535645, 2.341630458831787, 2.3735158443450928, 2.346156597137451, 2.320382595062256, 2.353431224822998];[1.3673170804977417, 1.2719435691833496, 1.3728693723678589, 1.3754057884216309, 1.4025895595550537, 1.4004414081573486, 1.2376095056533813, 1.1209540367126465, 0.7754712104797363, 0.4014737606048584, 0.22793176770210266, 0.1951935589313507, 0.13762983679771423, 0.09190620481967926, 0.1091127023100853, 0.11878571659326553, 0.1144893616437912, 0.1304101049900055, 0.12139339745044708, 0.11533338576555252, 0.13080695271492004];[-71.49020385742188, -47.06281280517578, -51.21098327636719, -52.15407180786133, -52.87113952636719, -53.77662658691406, -26.127904891967773, -18.27254295349121, -7.204106330871582, -3.7498340606689453, -2.8534789085388184, -2.7127816677093506, -2.4980697631835938, -2.348454236984253, -2.4078071117401123, -2.4356513023376465, -2.4288082122802734, -2.4808242321014404, -2.44374942779541, -2.4171462059020996, -2.469618558883667]
950;[16.42078971862793, 11.734705924987793, 11.443451881408691, 11.475739479064941, 7.914045333862305, 4.76689338684082, 3.3445394039154053, 2.942106246948242, 2.6149160861968994, 2.3970232009887695, 2.352607488632202, 2.2981789112091064, 2.2736754417419434, 2.215120792388916, 2.1785755157470703, 2.1371572017669678, 2.163085699081421, 2.140362501144409, 2.146035671234131, 2.132554531097412, 2.14644193649292];[1.3639811277389526, 1.279525637626648, 1.4102314710617065, 1.4375919103622437, 1.2867097854614258, 0.9063924551010132, 0.5082136988639832, 0.3608304560184479, 0.22825008630752563, 0.13081516325473785, 0.11748531460762024, 0.0904521569609642, 0.08523735404014587, 0.059734612703323364, 0.039483461529016495, 0.027075137943029404, 0.035302117466926575, 0.024376368150115013, 0.023781152442097664, 0.025566771626472473, 0.025634542107582092];[-69.89213562011719, -42.787105560302734, -47.611366271972656, -51.0955810546875, -21.974885940551758, -7.67277717590332, -4.085738658905029, -3.3438963890075684, -2.794508695602417, -2.4592039585113525, -2.409074068069458, -2.333310604095459, -2.3042945861816406, -2.222384214401245, -2.1802635192871094, -2.1354081630706787, -2.1630101203918457, -2.13730525970459, -2.1463863849639893, -2.1308486461639404, -2.144388198852539]
1000;[16.473438262939453, 12.038843154907227, 8.228676795959473, 6.329469203948975, 5.461252212524414, 3.4813921451568604, 2.892577886581421, 2.617509126663208, 2.4221298694610596, 2.2697503566741943, 2.2486770153045654, 2.2374579906463623, 2.218648672103882, 2.2179453372955322, 2.1843535900115967, 2.1530516147613525, 2.141230583190918, 2.121023178100586, 2.143791437149048, 2.128995895385742, 2.1416313648223877];[1.3710981607437134, 1.2658575773239136, 1.1631289720535278, 0.9949122667312622, 0.8896934986114502, 0.5078721046447754, 0.32860225439071655, 0.22302332520484924, 0.13890625536441803, 0.07288433611392975, 0.0693296417593956, 0.05932877957820892, 0.05486440658569336, 0.05727274343371391, 0.0422547347843647, 0.0325576588511467, 0.026281626895070076, 0.016048651188611984, 0.022601382806897163, 0.022860495373606682, 0.023657945916056633];[-71.53129577636719, -49.59022521972656, -23.053787231445312, -14.789078712463379, -11.019848823547363, -4.547348499298096, -3.226332426071167, -2.807272434234619, -2.4951565265655518, -2.276991844177246, -2.2558541297912598, -2.2466344833374023, -2.230436325073242, -2.2215471267700195, -2.185098648071289, -2.1525745391845703, -2.13165283203125, -2.1061766147613525, -2.1348443031311035, -2.1316258907318115, -2.1356823444366455]
